,id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem,problem_eng,problem_with_product
1686,restart_4065,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2016-12-18,,,
1687,restart_4268,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,End of life,,Restarters Firenze,2017-01-28,,,
1688,restart_4269,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,End of life,,Restarters Firenze,2017-01-28,,,
1689,restart_4304,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-02-04,,,
1690,restart_4305,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-02-04,,,
1691,restart_4309,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Firenze,2017-02-04,,,
1692,restart_4311,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-02-04,,,
1693,restart_4714,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-04-01,,,
1694,restart_4715,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-04-01,,,
1695,restart_4719,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-04-01,,,
1696,restart_4721,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,End of life,,Restarters Firenze,2017-04-01,,,
1697,restart_4915,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-04-22,,,
1698,restart_5078,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Firenze,2017-05-13,,,
1699,restart_5286,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-06-10,,,
1700,restart_2276,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,End of life,,Restarters Barcelona,2016-02-23,El botó per encendre la pantalla no funciona.,,Mobile: El botó per encendre la pantalla no funciona.
1701,restart_2277,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,End of life,,Restarters Barcelona,2016-02-23,No carrega la batería / No s'encén.,,Mobile: No carrega la batería / No s'encén.
1702,restart_2278,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Barcelona,2016-02-23,,,
1703,restart_2279,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Barcelona,2016-02-23,,,
1704,restart_2280,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Barcelona,2016-02-23,sembla que all.,,Mobile: sembla que all.
1705,restart_2281,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Barcelona,2016-02-23,tinc un tros de SIM encallat en una de les dues ranures de les SIM.,,Mobile: tinc un tros de SIM encallat en una de les dues ranures de les SIM.
1706,restart_2283,The Restart Project,ESP,Mobile ~ Teléfono inteligente,Mobile,19,Fairphone,,,Fixed,,Restarters Barcelona,2016-02-23,"Sonido no va, Enchufe va mal.",,"Mobile: Sonido no va, Enchufe va mal."
1707,restart_2289,The Restart Project,ESP,Mobile,Mobile,19,Fairphone,,,Fixed,,Restarters Barcelona,2016-02-23,Cobertra va mal.,,Mobile: Cobertra va mal.
1708,restart_1765,The Restart Project,ESP,Mobile,Mobile,19,Samsung,,,End of life,,Restarters Barcelona,2015-10-03,Placa base? - Movil muerto.,,Mobile: Placa base? - Movil muerto.
1709,restart_1339,The Restart Project,ITA,Mobile,Mobile,19,Motorola,,,Repairable,,Restarters LangheRoero,2015-04-12,,,
1710,restart_800,The Restart Project,ITA,Mobile ~ i phone,Mobile,19,Apple,,,Repairable,,Restarters LangheRoero,2014-07-19,mancano ricambio schermo/display.,,Mobile: mancano ricambio schermo/display.
1711,restart_805,The Restart Project,ITA,Mobile ~ i phone,Mobile,19,Apple,,,Repairable,,Restarters LangheRoero,2014-07-19,mancano ricambio schermo/display.,,Mobile: mancano ricambio schermo/display.
1712,restart_5868,The Restart Project,NOR,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Oslo,2017-09-03,,,
1713,restart_5873,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restarters Oslo,2017-09-03,,,
1714,restart_5874,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restarters Oslo,2017-09-03,,,
1715,restart_5875,The Restart Project,NOR,Mobile,Mobile,19,Samsung,,,Fixed,,Restarters Oslo,2017-09-03,,,
1716,restart_5880,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restarters Oslo,2017-09-03,Humidity problem.,,Mobile: Humidity problem.
1717,restart_5882,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,End of life,,Restarters Oslo,2017-09-03,,,
1718,restart_5884,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,End of life,,Restarters Oslo,2017-09-03,Humidity problem.,,Mobile: Humidity problem.
1719,restart_5885,The Restart Project,NOR,Mobile,Mobile,19,Apple,,,Repairable,,Restarters Oslo,2017-09-03,,,
1720,restart_5888,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restarters Oslo,2017-09-03,,,
1721,restart_5889,The Restart Project,NOR,Mobile,Mobile,19,Sony,,,Fixed,,Restarters Oslo,2017-09-03,,,
1722,restart_5893,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restarters Oslo,2017-09-03,,,
1723,restart_5902,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restarters Oslo,2017-09-03,,,
1724,restart_5907,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restarters Oslo,2017-09-03,Humidity problem.,,Mobile: Humidity problem.
1725,restart_5909,The Restart Project,NOR,Mobile,Mobile,19,Samsung,,,Repairable,,Restarters Oslo,2017-09-03,,,
1726,restart_5910,The Restart Project,NOR,Mobile ~ iPhone,Mobile,19,Apple,,,End of life,,Restarters Oslo,2017-09-03,Humidity problem.,,Mobile: Humidity problem.
1727,restart_794,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Torino,2014-07-13,Digital Agenda.,,Mobile: Digital Agenda.
1728,restart_5925,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Repairable,,Restarters Kensal to Kilburn,2017-09-09,"intermittent screen flicker, short battery life.",,"Mobile: intermittent screen flicker, short battery life."
1729,restart_1183,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Aosta,2015-02-01,Flashing screeen.,,Mobile: Flashing screeen.
1730,restart_5022,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Aosta,2017-05-08,Slow - gave lesson on android use.,,Mobile: Slow - gave lesson on android use.
1731,restart_6029,The Restart Project,ITA,Mobile,Mobile,19,Brondi,,,Fixed,,Restarters Milano,2017-09-23,cleaned electric contacts and volume regulation.,,Mobile: cleaned electric contacts and volume regulation.
1732,restart_6047,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,End of life,,Hackney Fixers,2017-09-23,On-off switch stuck. Not fixable.,,Mobile: On-off switch stuck. Not fixable.
1733,restart_6049,The Restart Project,GBR,Mobile,Mobile,19,Nokia,,,Fixed,,Hackney Fixers,2017-09-23,Power socket dodgy.,,Mobile: Power socket dodgy.
1734,restart_5827,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Repairable,,Réparothons INSERTECH (Montreal),2017-08-29,,,
1735,restart_5829,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,End of life,,Réparothons INSERTECH (Montreal),2017-08-29,,,
1736,restart_5833,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,End of life,,Réparothons INSERTECH (Montreal),2017-08-29,,,
1737,restart_5836,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Repairable,,Réparothons INSERTECH (Montreal),2017-08-29,,,
1738,restart_5847,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Repairable,,Réparothons INSERTECH (Montreal),2017-08-29,,,
1739,restart_5848,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Fixed,,Réparothons INSERTECH (Montreal),2017-08-29,,,
1740,restart_6111,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Fixed,,Restart the Capital,2017-09-30,Unable to create memory space by deleting data.,,Mobile: Unable to create memory space by deleting data.
1741,restart_6120,The Restart Project,GBR,Mobile ~ iphone,Mobile,19,Apple,,,Repairable,,Restart the Capital,2017-09-30,Silence button not working. Owner will come to a future event once part ordered.,,Mobile: Silence button not working. Owner will come to a future event once part ordered.
1742,restart_6088,The Restart Project,ITA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restarters Torino,2017-09-24,OS issue (slow),,Mobile: OS issue (slow)
1743,restart_6089,The Restart Project,ITA,Mobile,Mobile,19,HTC,,,Fixed,,Restarters Torino,2017-09-24,"Microphone not working, fixed by cleaning the inside.",,"Mobile: Microphone not working, fixed by cleaning the inside."
1744,restart_5945,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Repairable,,Restart the Capital,2017-09-09,Doesn't turn on.,,Mobile: Doesn't turn on.
1745,restart_5949,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart the Capital,2017-09-09,Power botton doesn't work.,,Mobile: Power botton doesn't work.
1746,restart_6206,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart the Capital,2017-10-14,Can't hear incoming voice.,,Mobile: Can't hear incoming voice.
1747,restart_6160,The Restart Project,GBR,Mobile,Mobile,19,LG,,,End of life,,Restart HQ,2017-10-07,Doesn't work - Overheat?,,Mobile: Doesn't work - Overheat?
1748,restart_6161,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart HQ,2017-10-07,Hardware problem.,,Mobile: Hardware problem.
1749,restart_6164,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Fixed,,Restart HQ,2017-10-07,loosing charge.,,Mobile: loosing charge.
